Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"RES_0402-10K,1%,1/16W,8GGX7","R4_CG, R4_DIG0, R23_CG, R23_DC1, R29_DC1, R31_F0_DIG0, R32_F0_DIG0, R33_CG, R34_CG, R34_F0_DIG0, R37_F0_DIG0, R39_F0_DIG0, R42_CG, R43_CG, R43_F0_DIG0, R44_F0_DIG0, R46_F0_DIG0, R49_CG, R49_DIG0, R50_DIG0, R51_DIG0, R52_DIG0, R82_F0_DIG0, R83_F0_DIG0, R121_DC1, R123_DC1, R124_DC1,R4_M0,R8_M0,R10_M0,R11_M0,R12_M0,R13_M0,R14_M0,R15_M0,R21_M0,R40_M0,R41_M0,R86_M0,R87_M0,R91_M0,R92_M0,R142_M0",Pref,43,8GGX7,?,?,?,8GGX7
"RES_0402-12.7K,0.1%,1/16W,TTGNR","R47_DC1, R69_DC1",Pref,2,TTGNR,?,?,?,TTGNR
"RES_0402-31.6K,1%,1/16W,67D05","R45_DC1, R62_DC1",Pref,2,67D05,?,?,?,67D05
"RES_0402-31.6K,1%,1/16W,NM1D9",R42_DC1,Pref,1,NM1D9,?,?,?,NM1D9
"RES_0402-33,1%,1/16W,G282J","R28_F0_DIG0, R29_F0_DIG0, R58_F0_DIG0, R58_F1_DIG0, R59_F0_DIG0, R59_F1_DIG0, R60_F0_DIG0, R60_F1_DIG0, R62_F0_DIG0, R62_F1_DIG0, R64_F0_DIG0, R64_F1_DIG0, R80_F0_DIG0, R81_F0_DIG0,R93_M0,R94_M0",Pref,16,G282J,?,?,?,G282J
"RES_0402-470,1%,1/16W,NHK5W","R6_DC1, R91_DC1",Pref,2,NHK5W,?,?,?,NHK5W
"RES_0402-487K,0.1%,1/16W,J00M7",R135_DC1,Pref,1,J00M7,?,?,?,J00M7
"RES_0402-7.06K,0.5%,1/16W,X8Y82","R11_DC1, R13_DC1, R82_DC1, R110_DC1",Pref,4,X8Y82,?,?,?,X8Y82
"RES_0603-0,1%,1/20W,Y979J","R136_DC1,R6_CG-R22_CG,R6_M0,R24_M0,R25_M0,R29_M0,R30_M0,R31_M0,R32_M0,R49_M0,R102_M0,R124_M0,R125_M0,R133_M0",Pref,14,Y979J,?,?,?,Y979J
"RES_0805-0,5%,1/5W,W8180",L19_DC1,Pref,1,W8180,?,?,?,W8180
